,Şehir,İlçe,Geçerli oy sayısı,Oy kullanan seçmen sayısı,Kayıtlı seçmen sayısı,Sandık sayısı ,AK PARTİ,MHP,CHP,İYİ PARTİ,HDP,SAADET PARTİSİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,VATAN PARTİSİ,HÜDA PAR,BĞMZ
39,Antalya,Muratpaşa,303673.0,308432.0,355248.0,980.0,78356.0,21933.0,123493.0,48198.0,24465.0,2504.0,2086.0,1259.0,786.0,352.0,241.0
23,Antalya,Serik,75239.0,77371.0,87704.0,270.0,25319.0,7954.0,18022.0,20281.0,1895.0,547.0,529.0,195.0,221.0,243.0,33.0
27,Antalya,İbradı,1961.0,2051.0,2290.0,12.0,809.0,94.0,724.0,265.0,17.0,23.0,9.0,6.0,5.0,6.0,3.0
4,Ardahan,Ardahan Merkez,22387.0,23275.0,27384.0,110.0,6728.0,1634.0,4811.0,1755.0,6916.0,161.0,161.0,57.0,84.0,80.0,0.0
19,Ardahan,Damal,4130.0,4282.0,4718.0,19.0,315.0,106.0,2515.0,107.0,1020.0,17.0,7.0,22.0,10.0,11.0,0.0
10,Ardahan,Göle,14144.0,14665.0,17953.0,74.0,6731.0,531.0,1821.0,252.0,4345.0,263.0,99.0,15.0,36.0,51.0,0.0
13,Ardahan,Hanak,5854.0,6113.0,6981.0,37.0,1656.0,389.0,2763.0,209.0,698.0,42.0,31.0,26.0,20.0,20.0,0.0
16,Ardahan,Posof,4550.0,4713.0,5384.0,53.0,2701.0,415.0,904.0,210.0,176.0,41.0,73.0,3.0,17.0,10.0,0.0
7,Ardahan,Çıldır,5609.0,5815.0,6985.0,43.0,2300.0,671.0,1874.0,367.0,203.0,45.0,64.0,19.0,35.0,31.0,0.0
4,Artvin,Ardanuç,7808.0,8093.0,9196.0,65.0,2524.0,374.0,3469.0,918.0,294.0,85.0,44.0,37.0,29.0,34.0,0.0
7,Artvin,Arhavi,13796.0,14082.0,16214.0,70.0,6462.0,1170.0,4084.0,1230.0,292.0,259.0,198.0,46.0,35.0,20.0,0.0
10,Artvin,Artvin Merkez,21697.0,22186.0,25085.0,111.0,7140.0,2767.0,7241.0,3179.0,666.0,313.0,173.0,91.0,68.0,59.0,0.0
13,Artvin,Borçka,14363.0,14768.0,16979.0,66.0,6421.0,2183.0,3649.0,1201.0,325.0,236.0,232.0,38.0,42.0,36.0,0.0
16,Artvin,Hopa,17049.0,17356.0,19741.0,69.0,5096.0,1354.0,6623.0,1539.0,1922.0,252.0,119.0,41.0,65.0,38.0,0.0
